movieId,title,new_title,genres
1,Toy Story,Toy Story,Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji,Jumanji,Adventure|Children|Fantasy
3,Grumpier Old Men,Grumpier Old Men,Comedy|Romance
4,Waiting to Exhale,Waiting to Exhale,Comedy|Drama|Romance
5,Father of the Bride Part II,Father of the Bride Part II,Comedy
6,Heat,Heat,Action|Crime|Thriller
7,Sabrina,Sabrina,Comedy|Romance
8,Tom and Huck,Tom and Huck,Adventure|Children
9,Sudden Death,Sudden Death,Action
10,GoldenEye,GoldenEye,Action|Adventure|Thriller
11,"American President, The",The American President,Comedy|Drama|Romance
12,Dracula: Dead and Loving It,Dracula: Dead and Loving It,Comedy|Horror
13,Balto,Balto,Adventure|Animation|Children
14,Nixon,Nixon,Drama
15,Cutthroat Island,Cutthroat Island,Action|Adventure|Romance
16,Casino,Casino,Crime|Drama
17,Sense and Sensibility,Sense and Sensibility,Drama|Romance
18,Four Rooms,Four Rooms,Comedy
19,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,Comedy
20,Money Train,Money Train,Action|Comedy|Crime|Drama|Thriller
21,Get Shorty,Get Shorty,Comedy|Crime|Thriller
22,Copycat,Copycat,Crime|Drama|Horror|Mystery|Thriller
23,Assassins,Assassins,Action|Crime|Thriller
24,Powder,Powder,Drama|Sci-Fi
25,Leaving Las Vegas,Leaving Las Vegas,Drama|Romance
26,Othello,Othello,Drama
27,Now and Then,Now and Then,Children|Drama
28,Persuasion,Persuasion,Drama|Romance
29,"City of Lost Children, The",The City of Lost Children,Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,Shanghai Triad,Shanghai Triad,Crime|Drama
31,Dangerous Minds,Dangerous Minds,Drama
32,Twelve Monkeys,Twelve Monkeys,Mystery|Sci-Fi|Thriller
33,Wings of Courage,Wings of Courage,Adventure|Romance|IMAX
34,Babe,Babe,Children|Drama
35,Carrington,Carrington,Drama|Romance
36,Dead Man Walking,Dead Man Walking,Crime|Drama
37,Across the Sea of Time,Across the Sea of Time,Documentary|IMAX
38,It Takes Two,It Takes Two,Children|Comedy
39,Clueless,Clueless,Comedy|Romance
40,"Cry, the Beloved Country",Cry the Beloved Country,Drama
41,Richard III,Richard III,Drama|War
